GeoId|Geography|LEAID|Year|Iteration|B02001_1est|B02001_1moe|B02001_2est|B02001_2moe|B02001_3est|B02001_3moe|B02001_4est|B02001_4moe|B02001_5est|B02001_5moe|B02001_6est|B02001_6moe|B02001_7est|B02001_7moe|B02001_8est|B02001_8moe|B02001_9est|B02001_9moe|B02001_10est|B02001_10moe
95000US1713440|Lindop School District 92, IL|1713440|2014-2018||4614|604|506|176|3773|641|0|11|81|93|0|11|12|23|242|242|12|19|230|245
95000US3008400|Lindsay Elementary School District, MT|3008400|2014-2018||287|73|280|71|0|10|5|10|0|10|0|10|0|10|2|3|0|10|2|3
97000US4827570|Lindsay Independent School District, TX|4827570|2014-2018||2217|295|2143|287|13|21|3|4|0|13|0|13|40|53|18|23|12|22|6|6
97000US4017850|Lindsay Public Schools, OK|4017850|2014-2018||5743|253|5090|283|7|12|307|122|36|48|0|13|33|45|270|117|0|13|270|117
97000US0621870|Lindsay Unified School District, CA|0621870|2014-2018||17411|729|13964|737|50|49|70|49|161|145|0|19|2795|668|371|182|105|74|266|167
97000US4214460|Line Mountain School District, PA|4214460|2014-2018||8313|252|8165|254|46|34|0|15|16|13|0|15|8|12|78|53|4|6|74|52
97000US4827600|Lingleville Independent School District, TX|4827600|2014-2018||1456|510|1409|496|28|52|0|13|3|5|0|13|0|13|16|24|0|13|16|24
97000US2906000|Linn County R-I School District, MO|2906000|2014-2018||1504|160|1472|161|28|37|1|3|0|11|0|11|0|11|3|3|0|11|3|3
95000US5508040|Linn Joint No. 4 School District, WI|5508040|2014-2018||1282|310|1189|292|0|9|0|9|2|3|0|9|50|41|41|47|19|31|22|32
95000US5508070|Linn Joint No. 6 School District, WI|5508070|2014-2018||1094|148|1056|148|2|3|2|3|0|9|0|9|15|25|19|22|0|9|19|22
97000US1917220|Linn-Mar Community School District, IA|1917220|2014-2018||40716|979|36763|978|929|412|0|20|1509|439|14|21|532|331|969|369|11|20|958|369
95000US0621900|Linns Valley-Poso Flat Union School District, CA|0621900|2014-2018||682|205|589|174|58|89|3|4|0|12|0|12|0|12|32|53|0|12|32|53
97000US3800017|Linton Public School District 36, ND|3800017|2014-2018||1598|146|1541|144|0|9|0|9|34|23|0|9|0|9|23|22|15|20|8|11
97000US1805910|Linton-Stockton School Corporation, IN|1805910|2014-2018||8209|24|8032|131|17|23|0|16|0|16|20|39|0|16|140|99|38|58|102|79
95000US3408670|Linwood City School District, NJ|3408670|2014-2018||6826|37|6179|182|104|67|3|5|301|140|11|14|58|51|170|70|38|41|132|59
97000US4827630|Lipan Independent School District, TX|4827630|2014-2018||1824|360|1708|312|0|13|103|99|0|13|0|13|0|13|13|22|0|13|13|22
97000US2307530|Lisbon, ME|2307530|2014-2018||8896|27|8419|166|2|5|0|14|37|37|0|14|6|10|432|168|19|32|413|162
97000US3617430|Lisbon Central School District, NY|3617430|2014-2018||4460|278|3837|245|388|100|11|15|0|12|0|12|148|64|76|51|0|12|76|51
95000US1723160|Lisbon Community Consolidated School District 90, IL|1723160|2014-2018||1081|174|1002|168|6|9|0|11|2|3|0|11|1|3|70|77|0|11|70|77
97000US1917250|Lisbon Community School District, IA|1917250|2014-2018||3504|452|3314|432|51|51|9|15|0|9|0|9|12|20|118|83|0|9|118|83
97000US3904545|Lisbon Exempted Village School District, OH|3904545|2014-2018||5743|304|5641|309|67|64|0|16|0|16|0|16|0|16|35|32|0|16|35|32
97000US3811430|Lisbon Public School District 19, ND|3811430|2014-2018||3406|153|3240|150|38|52|12|19|0|9|0|9|19|27|97|62|0|9|97|62
97000US3304290|Lisbon Regional School District, NH|3304290|2014-2018||2282|194|2198|189|0|11|20|26|12|9|0|11|6|8|46|31|9|11|37|28
95000US0902190|Lisbon School District, CT|0902190|2014-2018||4272|21|4062|100|11|16|12|22|79|60|0|12|24|39|84|73|10|16|74|70
97000US1723200|Lisle Community Unit School District 202, IL|1723200|2014-2018||14393|514|12010|554|423|260|8|13|1238|372|0|17|427|227|287|129|0|17|287|129
